Index,Week,Timestamp,Rank,First appear,Watchface Name,Is Sport Tag,Official tags,Link,Watchface Thumbnail,Data Types,displayForm,data+displayForm,onlyIcon,Number of data types,Size of the visualizations,How is data identified,Representations beyond text,What data is visualized as a chart,Proportion data types,Corresponding proportion charts,Proportion Chart,"Graphical decoration(logo,background,screen border,container,divider,logo,design(=foreground graphic))",Animation,UI Style,Official tags,"Watch type (Analog, Digital,Hybrid)",Color Hue (Color except balck white grey),Website,Paid,,Proportion Chart analysis
48,1,14/03/2021 22:00,48,yes,LAZ | Sport Chronograph Mono,TRUE,Sports;stopwatch;chronograph;phone;settings;activity;contacts;moon phase;calendar;alarm;distance travelled;calories burnt;weather;digital;lcd;steps;heart rate;trending;,https://www.facer.io/watchface/omXqXE99EH?watchModel=dieselonfullguard,,time;date;day;sun;weather;calories;distance;temperature;steps;heart rate;moon;watch battery;,text;icon+text;icon+text;icon+text;text;text;icon+text;chart;icon+text;,sun=text;weather=icon+text;calories=icon+text;distance=icon+text;temperature=text;steps=text;heart rate=icon+text;moon=chart;watch battery=icon+text;,none;,9,,,,no;,watch battery;,text;,no;,logo;container;,no;,flat,Sports;stopwatch;chronograph;phone;settings;activity;contacts;moon phase;calendar;alarm;distance travelled;calories burnt;weather;digital;lcd;steps;heart rate;trending;,digital,0,Facer,Premium,,no;
51,1,14/03/2021 22:00,51,yes,ZK_TR104,TRUE,Sports;,https://www.facer.io/watchface/JjG0E4iQeA?watchModel=galaxywatch3,,time;date;day;sun;moon;location;watch battery;phone battery;,icon+text;chart;text;chart+text;chart+text;,sun=icon+text;moon=chart;location=text;watch battery=chart+text;phone battery=chart+text;,none;,5,,,,watch battery;phone battery;second;,watch battery;phone battery;,discrete donut+text;discrete donut+text;,donut+pictogram;,logo;background;container;,no;,skeuomorphism,Sports;,hybrid,1,Facer,Premium,,donut+pictogram;
54,1,14/03/2021 22:00,54,yes,ZK_TR105,TRUE,Sports;sports;fun;activity;weather;stopwatch;analog;digital;colorful;zhnkrdg;,https://www.facer.io/watchface/LGMRpku7MB?watchModel=galaxywatch3,,time;date;day;watch battery;stopwatch;,chart+text;,watch battery=chart+text;,none;,1,,,,second;watch battery;,watch battery;,discrete bar+text;,bar+pictogram;,logo;background;container;,no;,skeuomorphism,Sports;sports;fun;activity;weather;stopwatch;analog;digital;colorful;zhnkrdg;,hybrid,2,Facer,Premium,,bar+pictogram;
67,1,14/03/2021 22:00,67,yes,HaDe Sportsman IX,TRUE,Sports;monnphase;hade sportsman;,https://www.facer.io/watchface/N3ZQTG8bkn?watchModel=montblancsummit2blackcaseblacksport,,time;date;heart rate;steps;watch battery;weather;moon;wind direction;location;,chart+icon+text;icon+text;chart+icon;icon;icon+text;chart;text;,watch battery=chart+icon+text;heart rate=icon+text;steps=chart+icon;weather=icon;wind direction=icon+text;moon=chart;location=text;,weather;,7,,,,heart rate;steps;watch battery;wind;,watch battery;steps;heart rate;,discrete donut+text;discrete donut;discrete arc;,donut+pictogram;,logo;background;container;,no;,semi-flat,Sports;monnphase;hade sportsman;,hybrid,3,Facer,Premium,,donut+pictogram;
73,1,14/03/2021 22:00,73,yes,LAZ | Saturn Dual Time Chrono,TRUE,Sports;stopwatch;chronograph;phone;settings;activity;contacts;moon phase;calendar;alarm;distance travelled;calories burnt;weather;digital;lcd;steps;heart rate;trending;,https://www.facer.io/watchface/iu5nOKvgFe?watchModel=montblancsummit2steelcasebluecanvas,,time;date;day;calories;heart rate;distance;steps;sun;weather;temperature;time zone;moon;watch battery;,icon+text;text;icon+text;chart+icon+text;text;text;text;text;chart;chart+icon+text;,calories=icon+text;heart rate=text;distance=icon+text;steps=chart+icon+text;sun=text;weather=text;temperature=text;time zone=text;moon=chart;watch battery=chart+icon+text;,none;,10,,,,steps;watch battery;,watch battery;steps;,discrete bar+text;discrete bar;,bar+pictogram;,logo;background;container;,no;,semi-flat,Sports;stopwatch;chronograph;phone;settings;activity;contacts;moon phase;calendar;alarm;distance travelled;calories burnt;weather;digital;lcd;steps;heart rate;trending;,hybrid,2,Facer,Premium,,bar+pictogram;
82,1,14/03/2021 22:00,82,yes,Fitness Flowers 06,TRUE,Lifestyle;fitness;sports;digital;girly;flowers;interactive;spring;summer;denim;jeans;,https://www.facer.io/watchface/z7mX310gSr?watchModel=galaxyactive2,,time;date;day;watch battery;temperature;weather;steps;distance;heart rate;calories;,chart+text;text;text;icon+text;text;icon+text;chart+text;,watch battery=chart+text;temperature=text;weather=text;steps=icon+text;distance=text;heart rate=icon+text;calories=chart+text;,none;,7,,,,watch battery;steps;,watch battery;steps;,arc+text;arc;,arc;,logo;background;container;divider;design;,no;,skeuomorphism,Lifestyle;fitness;sports;digital;girly;flowers;interactive;spring;summer;denim;jeans;,digital,3,Facer,Premium,,arc;
85,1,14/03/2021 22:00,85,yes,Fitness Flowers 04,TRUE,Sports;digital;sports;fitness;activity;women's;flowers;running;walking;,https://www.facer.io/watchface/PSxEjA8esW?watchModel=galaxyactive2,,time;date;day;weather;temperature;heart rate;steps;calories;distance;,text;text;icon+text;icon+text;text;chart+icon+text;,weather=text;temperature=text;heart rate=icon+text;steps=icon+text;calories=text;distance=chart+icon+text;,none;,6,,,,watch battery;steps;,watch battery;steps;,arc;arc;,arc;,background;container;design;,no;,skeuomorphism,Sports;digital;sports;fitness;activity;women's;flowers;running;walking;,digital,2,Facer,Premium,,arc;
86,1,14/03/2021 22:00,86,yes,B# - Come Fly With Me,TRUE,Realistic;b#;b sharp;bsharp;luxury;realistic;mechanical;analog;hybrid;hd;sport;pilot;aviator;black;chronograph;,https://www.facer.io/watchface/viHyB21Lgo?watchModel=fossilqexplorist,,time;date;distance;steps;heart rate;weather;temperature;,text;text;icon+text;icon;text;,distance=text;steps=text;heart rate=icon+text;weather=icon;temperature=text;,weather;,5,,,,watch battery;,watch battery;,gauge;,gauge;,logo;background;container;,no;,skeuomorphism,Realistic;b#;b sharp;bsharp;luxury;realistic;mechanical;analog;hybrid;hd;sport;pilot;aviator;black;chronograph;,hybrid,2,Facer,Premium,,gauge;
91,1,14/03/2021 22:00,91,yes,CFW Digital A02,TRUE,Sports;adventure;hicking;camping;outdoors;moonphases;,https://www.facer.io/watchface/gGiMLalZYf?watchModel=galaxywatch3,,time;date;day;steps;heart rate;distance;sun;watch battery;location;weather;temperature;altitude;wind speed;wind direction;air pressure;weather forecast;moon;compass;humidity;,icon+text;icon+text;icon+text;icon+text;chart;text;icon;text;text;text;text;text;text;chart;chart+text;chart+icon;,steps=icon+text;heart rate=icon+text;distance=icon+text;sun=icon+text;watch battery=chart;location=text;weather=icon;temperature=text;altitude=text;wind speed=text;wind direction=text;air pressure=text;weather forecast=text;moon=chart;compass=chart+text;humidity=chart+icon;,weather;,16,,,,watch battery;compass;humidity;,watch battery;humidity;,discrete bar;donut;,bar+pictogram;donut;,logo;background;container;,heart rate;,skeuomorphism,Sports;adventure;hicking;camping;outdoors;moonphases;,digital,3,Facer,Premium,,bar+pictogram;donut;
98,1,14/03/2021 22:00,98,yes,HaDe PRO XA5500 Aviator,TRUE,Sports;stopwatch;lifestyle;battery;sports;adventure;military;hade xa;,https://www.facer.io/watchface/uEJPCiBfA5?watchModel=galaxywatch,,time;date;day;wind speed;heart rate;moon;watch battery;steps;sun;,text;chart+icon+text;chart;chart+icon;chart+icon;chart+text;,wind speed=text;heart rate=chart+icon+text;moon=chart;watch battery=chart+icon;steps=chart+icon;sun=chart+text;,none;,6,,,,watch battery;wind;date;day;heart rate;,watch battery;steps;heart rate;,sliding;sliding;gauge;,gauge;,screen border;container;,no;,semi-flat,Sports;stopwatch;lifestyle;battery;sports;adventure;military;hade xa;,analog,3,Facer,Premium,,gauge;
104,2,21/03/2021 22:00,4,yes,RZ240,TRUE,Sports;chrono;sport;sporty;rzwatchfaces;,https://www.facer.io/watchface/voxFdxl63M?watchModel=suunto7,,time;date;day;temperature;watch battery;distance;steps;heart rate;,text;icon+text;chart+text;text;icon+text;,temperature=text;watch battery=icon+text;distance=chart+text;steps=text;heart rate=icon+text;,none;,5,,,,steps;,watch battery;,text;,no;,logo;divider;,heart rate;,flat,Sports;chrono;sport;sporty;rzwatchfaces;,digital,1,Facer,Premium,,no;
112,2,21/03/2021 22:00,12,yes,HaDe PRO Sport 390,TRUE,Sports;hade sport;,https://www.facer.io/watchface/E9GL30ZMCD?watchModel=galaxywatch3,,time;date;day;heart rate;weather;steps;distance;watch battery;phone battery;moon;sun;,chart+icon+text;icon;icon+text;icon+text;chart+icon+text;chart+icon+text;chart;icon+text;,heart rate=chart+icon+text;weather=icon;steps=icon+text;distance=icon+text;watch battery=chart+icon+text;phone battery=chart+icon+text;moon=chart;sun=icon+text;,weather;,8,,,,heart rate;watch battery;phone battery;,watch battery;phone battery;heart rate;,discrete arc+text;discrete arc+text;gauge;,gauge;,logo;container;,no;,semi-flat,Sports;hade sport;,hybrid,2,Facer,Premium,,gauge;
128,2,21/03/2021 22:00,28,yes,New MONSTER IV,TRUE,Military;sport;health;hybrid;digital;military;themes;color;,https://www.facer.io/watchface/L2B0H2R5ZE?watchModel=galaxywatch3,,time;date;day;heart rate;distance;steps;calories;moon;watch battery;,chart+icon+text;text;chart+icon+text;icon+text;chart;chart+icon+text;,heart rate=chart+icon+text;distance=text;steps=chart+icon+text;calories=icon+text;moon=chart;watch battery=chart+icon+text;,none;,6,,,,heart rate;steps;watch battery;,heart rate;,arc;,arc+pictogram;arc;,background;screen border;container;,no;,skeuomorphism,Military;sport;health;hybrid;digital;military;themes;color;,hybrid,3,Facer,Premium,,arc+pictogram;arc;
146,2,21/03/2021 22:00,46,yes,B# - Speak Low ,TRUE,Realistic;b#;b sharp;bsharp;realistic;sport;analog;mechanical;luxury;customizable;lume;elegant;hybrid;weather;,https://www.facer.io/watchface/MvuJfCXVx1?watchModel=galaxywatch3,,time;date;day;watch battery;,chart;,watch battery=chart;,none;,1,,,,watch battery;,watch battery;,gauge;,gauge;,logo;screen border;container;,no;,skeuomorphism,Realistic;b#;b sharp;bsharp;realistic;sport;analog;mechanical;luxury;customizable;lume;elegant;hybrid;weather;,analog,2,Facer,Premium,,gauge;
170,2,21/03/2021 22:00,70,yes,LAZ | Chronos Mono MKII,TRUE,Sports;date;heart rate;calendar;weather;digital;temperature;sunset;sunrise;,https://www.facer.io/watchface/1P97tqWqrC?watchModel=fossilqexplorist,,time;date;day;watch battery;steps;moon;sun;temperature;distance;calories;heart rate;weather;,chart+text;chart+text;chart;text;text;icon+text;icon+text;icon+text;icon;,watch battery=chart+text;steps=chart+text;moon=chart;sun=text;temperature=text;distance=icon+text;calories=icon+text;heart rate=icon+text;weather=icon;,weather;,9,,,,watch battery;steps;hour;minute;,watch battery;steps;,bar+text;bar;,bar;,logo;container;,no;,flat,Sports;date;heart rate;calendar;weather;digital;temperature;sunset;sunrise;,digital,1,Facer,Premium,,bar;
173,2,21/03/2021 22:00,73,yes,Geometric Stats,TRUE,Sports;fitness;men;women;activity;sports;running;walking;,https://www.facer.io/watchface/R5B5lFCNvf?watchModel=fossilqventure,,time;date;day;watch battery;temperature;heart rate;steps;distance;calories;,text;text;icon+text;icon+text;icon+text;icon+text;,watch battery=text;temperature=text;heart rate=icon+text;steps=icon+text;distance=icon+text;calories=icon+text;,none;,6,,,,no;,watch battery;,text;,no;,background;container;,no;,flat,Sports;fitness;men;women;activity;sports;running;walking;,digital,5,Facer,Premium,,no;
197,2,21/03/2021 22:00,97,yes,temperature=text;weather=text;watch battery=chart+text;steps=chart+text;distance=;calories;heart rate;,TRUE,Sports;date;heart rate;calendar;weather;digital;temperature;sunset;sunrise;stopwatch;chronograph;,https://www.facer.io/watchface/XzIEjw7gms?watchModel=fossilqexplorist,,time;date;day;temperature;weather;watch battery;steps;sun;heart rate;,text;text;chart+text;chart+text;chart+text;icon+text;,temperature=text;weather=text;watch battery=chart+text;steps=chart+text;sun=chart+text;heart rate=icon+text;,none;,6,,,,watch battery;steps;minute;,watch battery;steps;,bar+text;bar;,bar;,logo;container;,no;,semi-flat,Sports;date;heart rate;calendar;weather;digital;temperature;sunset;sunrise;stopwatch;chronograph;,hybrid,2,Facer,Premium,,bar;
207,3,28/03/2021 22:01,7,yes,REPARTO CORSE,TRUE,Sports;race;engines;track;60;70;custom;cars;italy;style;sport;,https://www.facer.io/watchface/oDSvkoidOv?watchModel=armaniconnected,,time;steps;watch battery;,chart+text;chart+text;,steps=chart+text;watch battery=chart+text;,none;,2,,,,steps;watch battery;,watch battery;steps;,gauge;gauge;,gauge;,logo;background;screen border;container;design;,no;,skeuomorphism,Sports;race;engines;track;60;70;custom;cars;italy;style;sport;,analog,3,Facer,Premium,,gauge;
224,3,28/03/2021 22:01,24,yes,B Sharp - Hybrid 5,TRUE,Lifestyle;mechanical;analog;luxury;realistic;b#;b sharp;bsharp;elegant;black;sport;blue;hybrid;lume;digital;,https://www.facer.io/watchface/CMU0bzaOCp?watchModel=galaxyactive2,,time;date;weather;temperature;watch battery;heart rate;distance;steps;,text;text;icon+text;text;icon+text;,temperature=text;watch battery=text;heart rate=icon+text;distance=text;steps=icon+text;,none;,6,,,,no;,watch battery;,text;,no;,logo;background;container;,heart rate;,skeuomorphism,Lifestyle;mechanical;analog;luxury;realistic;b#;b sharp;bsharp;elegant;black;sport;blue;hybrid;lume;digital;,analog,2,Facer,Premium,,no;
255,3,28/03/2021 22:01,55,yes,CW4U-2021 RACE,TRUE,Sports;sport;race;black;multi;dark;orange;minimal;style;stylish;fashion;elegant;pro;grey;stripes;,https://www.facer.io/watchface/budEYMcFDe?watchModel=galaxyactive2,,time;date;day;heart rate;steps;watch battery;phone battery;distance;,text;text;chart+text;chart+text;text;,heart rate=text;steps=text;watch battery=chart+text;phone battery=chart+text;distance=text;,none;,5,,,,watch battery;phone battery;steps;,watch battery;steps;phone battery;,arc+text;arc;arc+text;,arc;,logo;container;,heart rate;,flat,Sports;sport;race;black;multi;dark;orange;minimal;style;stylish;fashion;elegant;pro;grey;stripes;,analog,1,Facer,Premium,,arc;
294,3,28/03/2021 22:01,94,yes,DC Sport,TRUE,Minimal;interactive;theme;dark;blue;red;sport;running;walking;miles;kilometers;aod;oled;dc;washington;usa;,https://www.facer.io/watchface/z9QlRgj2jJ?watchModel=gears3,,time;date;day;temperature;weather;steps;distance;watch battery;,text;icon;text;text;text;,temperature=text;weather=icon;steps=text;distance=text;watch battery=text;,weather;,5,,,,no;,watch battery;,text;,no;,container;,no;,flat,Minimal;interactive;theme;dark;blue;red;sport;running;walking;miles;kilometers;aod;oled;dc;washington;usa;,digital,2,Facer,Premium,,no;
299,3,28/03/2021 22:01,99,yes,T DESIGN | Trans,TRUE,Sports;steps;black;dark;tomaja;design;tomajadesign;t;classic;time;date;best;top;most;analog;business;customizable;color;app;launcher;woman;girl;,https://www.facer.io/watchface/14BEeekBFg?watchModel=armaniconnected,,time;date;,none;,none;,none;,0,,,,no;,no;,no;,no;,logo;screen border;container;,no;,skeuomorphism,Sports;steps;black;dark;tomaja;design;tomajadesign;t;classic;time;date;best;top;most;analog;business;customizable;color;app;launcher;woman;girl;,analog,1,Facer,Premium,,no;
301,4,04/04/2021 22:00,1,yes,HaDe XA 372.6,TRUE,Sports;lifestyle;battery;sports;adventure;military;hade xa;,https://www.facer.io/watchface/0Hqri7Iots?watchModel=galaxywatch42,,time;date;day;watch battery;steps;location;moon;weather;,chart+icon;chart+icon+text;text;chart;icon;,watch battery=chart+icon;steps=chart+icon+text;location=text;moon=chart;weather=icon;,weather;,5,,,,tachymeter;steps;watch battery;day;,watch battery;steps;,bar;gauge;,gauge;bar;,container;design;,no;,skeuomorphism,Sports;lifestyle;battery;sports;adventure;military;hade xa;,hybrid,1,Facer,Premium,,gauge;bar;
310,4,04/04/2021 22:00,10,yes,HaDe PRO XA5800,TRUE,Sports;lifestyle;battery;sports;adventure;military;hade xa;,https://www.facer.io/watchface/q2TOrArwSQ?watchModel=galaxywatch,,time;date;day;steps;heart rate;weather;watch battery;moon;wind speed;temperature;,chart+icon+text;chart+text;icon;chart;chart;text;text;,steps=chart+icon+text;heart rate=chart+text;weather=icon;watch battery=chart;moon=chart;wind speed=text;temperature=text;,weather;,7,,,,steps;heart rate;watch battery;,steps;,gauge;,bar+pictogram;gauge;,container;design;,no;,skeuomorphism,Sports;lifestyle;battery;sports;adventure;military;hade xa;,hybrid,1,Facer,Premium,,bar+pictogram;gauge;
319,4,04/04/2021 22:00,19,yes,ICONIC | 2021,TRUE,Realistic;icons;fun;forecast;sport;walk;elegant;black;,https://www.facer.io/watchface/aMVlkJPQ0V?watchModel=ticwatchs2midnight,,time;date;day;temperature;steps;watch battery;weather;,text;icon+text;chart;icon;,temperature=text;steps=icon+text;watch battery=chart;weather=icon;,weather;,4,,,,weather;date;month;day;watch battery;steps;,watch battery;,gauge;,gauge;,logo;screen border;container;,no;,skeuomorphism,Realistic;icons;fun;forecast;sport;walk;elegant;black;,analog,1,Facer,Premium,,gauge;
324,4,04/04/2021 22:00,24,yes,Vibrant Information,TRUE,Sports;men;women;sports;activity;fitness;running;walking;colors;information;,https://www.facer.io/watchface/pJe9ocLCiz?watchModel=galaxyactive2,,time;date;day;temperature;weather;wifi;watch battery;phone battery;steps;distance;calories;heart rate;,text;text;chart+text;icon+text;icon+text;chart+icon+text;icon+text;icon+text;icon+text;,temperature=text;weather=text;wifi=chart+text;watch battery=icon+text;phone battery=icon+text;steps=chart+icon+text;distance=icon+text;calories=icon+text;heart rate=icon+text;,none;,9,,,,wifi;steps;,watch battery;steps;phone battery;,text;bar;text;,bar;,logo;background;container;,no;,skeuomorphism,Sports;men;women;sports;activity;fitness;running;walking;colors;information;,digital,3,Facer,Premium,,bar;
334,4,04/04/2021 22:00,34,yes,B Sharp - Intuit,TRUE,Realistic;b#;b sharp;bsharp;realistic;hybrid;analog;weather;guilloche;luxury;sport;mechanical;real;,https://www.facer.io/watchface/x8nRPmQyNa?watchModel=galaxywatch3,,time;day;watch battery;moon;,chart;icon;,watch battery=chart;moon=icon;,moon;,2,,,,watch battery;,watch battery;,gauge;,gauge;,logo;background;container;design;,no;,skeuomorphism,Realistic;b#;b sharp;bsharp;realistic;hybrid;analog;weather;guilloche;luxury;sport;mechanical;real;,analog,1,Facer,Premium,,gauge;
335,4,04/04/2021 22:00,35,yes,HaDe PRO XA5900,TRUE,Sports;lifestyle;battery;sports;adventure;military;hade xa;,https://www.facer.io/watchface/VNv2Dnr1Z5?watchModel=galaxywatch,,time;date;day;steps;watch battery;moon;weather;heart rate;,chart+icon+text;chart+icon+text;chart;icon;chart+text;,steps=chart+icon+text;watch battery=chart+icon+text;moon=chart;weather=icon;heart rate=chart+text;,moon;,5,,,,watch battery;steps;heart rate;,watch battery;steps;,gauge+text;gauge;,gauge;icon+bar;,container;design;,no;,skeuomorphism,Sports;lifestyle;battery;sports;adventure;military;hade xa;,hybrid,1,Facer,Premium,,gauge;icon+bar;
341,4,04/04/2021 22:00,41,yes,Ear Comes Easter,TRUE,Fun;easter;easter bunny;easter egg;themeable;interactive;popular;trending;sporty;cute;girly;,https://www.facer.io/watchface/iQCCmXCmQp?watchModel=moto3602w,,time;date;day;temperature;weather;steps;watch battery;heart rate;,text;icon;text;icon+text;text;,temperature=text;weather=icon;steps=text;watch battery=icon+text;heart rate=text;,weather;,5,,,,no;,watch battery;,text;,no;,background;design;,no;,skeuomorphism,Fun;easter;easter bunny;easter egg;themeable;interactive;popular;trending;sporty;cute;girly;,digital,4,Facer,Premium,,no;
345,4,04/04/2021 22:00,45,yes,Green Machine,TRUE,Sports;fitness;activity;green;yellow;analog-digital;gender neutral;,https://www.facer.io/watchface/mvsWXexrFa?watchModel=galaxyactive2,,time;date;day;watch battery;phone battery;steps;calories;distance;heart rate;temperature;weather;,icon+text;icon+text;chart+icon+text;icon+text;text;text;text;text;,watch battery=icon+text;phone battery=icon+text;steps=chart+icon+text;calories=icon+text;distance=text;heart rate=text;temperature=text;weather=text;,none;,8,,,,steps;,watch battery;steps;phone battery;,text;arc;text;,arc;,logo;background;container;,heart rate;,semi-flat,Sports;fitness;activity;green;yellow;analog-digital;gender neutral;,hybrid,3,Facer,Premium,,arc;
